model_variant,seed,model_type,use_omega,disable_between,symmetric_j,n_train_glyphs,SD_train_acc_final,RMTS_train_acc_final,SD_test_acc,RMTS_test_acc
baseline,123,baseline,True,False,False,15,0.9990,0.9975,0.8283,0.7750
baseline,319,baseline,True,False,False,15,0.9995,0.9970,0.8326,0.7744
baseline,321,baseline,True,False,False,15,0.9970,0.9980,0.8179,0.7600
baseline,42,baseline,True,False,False,15,0.9930,0.9950,0.7985,0.7273
baseline,492,baseline,True,False,False,15,0.9975,0.9955,0.8212,0.7664
baseline,123,baseline,True,False,False,50,0.9575,0.9370,0.8582,0.8149
baseline,319,baseline,True,False,False,50,0.9590,0.9485,0.8752,0.8293
baseline,321,baseline,True,False,False,50,0.9505,0.9235,0.8645,0.8147
baseline,42,baseline,True,False,False,50,0.9570,0.9325,0.8469,0.7988
baseline,492,baseline,True,False,False,50,0.9565,0.9385,0.8781,0.8244
baseline,123,baseline,True,False,False,95,0.9695,0.9473,0.8797,0.8373
baseline,319,baseline,True,False,False,95,0.9730,0.9510,0.9301,0.8779
baseline,321,baseline,True,False,False,95,0.9670,0.9515,0.8843,0.8404
baseline,42,baseline,True,False,False,95,0.9625,0.9497,0.8694,0.8250
baseline,492,baseline,True,False,False,95,0.9720,0.9377,0.8749,0.8365
osc-no-Omega,123,kuramoto,False,False,False,15,0.9925,0.9875,0.7899,0.7160
osc-no-Omega,319,kuramoto,False,False,False,15,0.9860,0.9790,0.7987,0.7412
osc-no-Omega,321,kuramoto,False,False,False,15,0.9695,0.9605,0.8142,0.7390
osc-no-Omega,42,kuramoto,False,False,False,15,0.9785,0.9700,0.8064,0.7276
osc-no-Omega,492,kuramoto,False,False,False,15,0.9940,0.9830,0.8305,0.7775
osc-no-Omega,123,kuramoto,False,False,False,50,0.9460,0.9150,0.8792,0.8406
osc-no-Omega,319,kuramoto,False,False,False,50,0.9720,0.9635,0.9317,0.9084
osc-no-Omega,321,kuramoto,False,False,False,50,0.9680,0.9625,0.9313,0.9016
osc-no-Omega,42,kuramoto,False,False,False,50,0.9655,0.9500,0.9029,0.8718
osc-no-Omega,492,kuramoto,False,False,False,50,0.9540,0.9350,0.8891,0.8351
osc-no-Omega,123,kuramoto,False,False,False,95,0.9888,0.9770,0.9279,0.9007
osc-no-Omega,319,kuramoto,False,False,False,95,0.9895,0.9825,0.9243,0.9138
osc-no-Omega,321,kuramoto,False,False,False,95,0.9750,0.9688,0.9597,0.9385
osc-no-Omega,42,kuramoto,False,False,False,95,0.9920,0.9812,0.9561,0.9388
osc-no-Omega,492,kuramoto,False,False,False,95,0.9922,0.9835,0.9719,0.9663
osc-symm-J-no-Omega,123,kuramoto,False,False,True,15,0.9915,0.9870,0.7976,0.7245
osc-symm-J-no-Omega,319,kuramoto,False,False,True,15,0.9845,0.9780,0.7772,0.7116
osc-symm-J-no-Omega,321,kuramoto,False,False,True,15,0.9715,0.9625,0.7768,0.7063
osc-symm-J-no-Omega,42,kuramoto,False,False,True,15,0.9875,0.9815,0.8053,0.7243
osc-symm-J-no-Omega,492,kuramoto,False,False,True,15,0.9880,0.9695,0.7414,0.6730
osc-symm-J-no-Omega,123,kuramoto,False,False,True,50,0.9595,0.9275,0.8721,0.8338
osc-symm-J-no-Omega,319,kuramoto,False,False,True,50,0.9425,0.8905,0.8385,0.7844
osc-symm-J-no-Omega,321,kuramoto,False,False,True,50,0.9565,0.9410,0.8956,0.8692
osc-symm-J-no-Omega,42,kuramoto,False,False,True,50,0.9645,0.9470,0.8944,0.8681
osc-symm-J-no-Omega,492,kuramoto,False,False,True,50,0.9420,0.9225,0.8833,0.8280
osc-symm-J-no-Omega,123,kuramoto,False,False,True,95,0.9842,0.9660,0.9162,0.9006
osc-symm-J-no-Omega,319,kuramoto,False,False,True,95,0.9868,0.9732,0.9421,0.9241
osc-symm-J-no-Omega,321,kuramoto,False,False,True,95,0.9910,0.9812,0.9272,0.8961
osc-symm-J-no-Omega,42,kuramoto,False,False,True,95,0.9890,0.9775,0.9379,0.8924
osc-symm-J-no-Omega,492,kuramoto,False,False,True,95,0.9872,0.9735,0.9296,0.9032
osc-default,123,kuramoto,True,False,False,15,0.9940,0.9905,0.7958,0.7336
osc-default,319,kuramoto,True,False,False,15,0.9955,0.9935,0.8405,0.7885
osc-default,321,kuramoto,True,False,False,15,0.9880,0.9840,0.7864,0.7194
osc-default,42,kuramoto,True,False,False,15,0.9995,0.9985,0.8551,0.7894
osc-default,492,kuramoto,True,False,False,15,0.9975,0.9990,0.8547,0.8067
osc-default,123,kuramoto,True,False,False,50,0.9730,0.9470,0.9139,0.8908
osc-default,319,kuramoto,True,False,False,50,0.9480,0.9240,0.9044,0.8599
osc-default,321,kuramoto,True,False,False,50,0.9805,0.9730,0.9232,0.8974
osc-default,42,kuramoto,True,False,False,50,0.9680,0.9395,0.9076,0.8607
osc-default,492,kuramoto,True,False,False,50,0.9695,0.9400,0.8764,0.8395
osc-default,123,kuramoto,True,False,False,95,0.9902,0.9808,0.9175,0.9048
osc-default,319,kuramoto,True,False,False,95,0.9938,0.9840,0.9473,0.9477
osc-default,321,kuramoto,True,False,False,95,0.9870,0.9822,0.9627,0.9538
osc-default,42,kuramoto,True,False,False,95,0.9932,0.9822,0.9603,0.9525
osc-default,492,kuramoto,True,False,False,95,0.9940,0.9830,0.9362,0.8972
osc-no-Jout,123,kuramoto,True,True,False,15,0.9885,0.9820,0.8358,0.7759
osc-no-Jout,319,kuramoto,True,True,False,15,0.9700,0.9575,0.7617,0.6894
osc-no-Jout,321,kuramoto,True,True,False,15,0.9675,0.9520,0.7816,0.6913
osc-no-Jout,42,kuramoto,True,True,False,15,0.9635,0.9485,0.7745,0.6906
osc-no-Jout,492,kuramoto,True,True,False,15,0.9855,0.9790,0.8046,0.7436
osc-no-Jout,123,kuramoto,True,True,False,50,0.9320,0.8825,0.8654,0.8060
osc-no-Jout,319,kuramoto,True,True,False,50,0.9385,0.9090,0.8817,0.8269
osc-no-Jout,321,kuramoto,True,True,False,50,0.9150,0.8790,0.8678,0.8117
osc-no-Jout,42,kuramoto,True,True,False,50,0.9775,0.9495,0.9098,0.8779
osc-no-Jout,492,kuramoto,True,True,False,50,0.9320,0.9055,0.8478,0.7866
osc-no-Jout,123,kuramoto,True,True,False,95,0.9770,0.9545,0.8862,0.8576
osc-no-Jout,319,kuramoto,True,True,False,95,0.9828,0.9623,0.9316,0.8919
osc-no-Jout,321,kuramoto,True,True,False,95,0.9788,0.9597,0.9325,0.8847
osc-no-Jout,42,kuramoto,True,True,False,95,0.9875,0.9715,0.9573,0.9392
osc-no-Jout,492,kuramoto,True,True,False,95,0.9850,0.9653,0.9197,0.8872
