Running command: python kuramoto_main.py   --exp_name KFFT_g15_s319   --seed 319   --n_train_glyphs 15   --n_train 2000   --n_test 10000   --epochs 50   --rmts_epochs 50   --model_type kuramoto --symmetric_j --animate
>>> Hyper‑parameters
exp_name            : KFFT_g15_s319
seed                : 319
checkpoint_every    : 10
load_model          : final
model_type          : kuramoto
animate             : True
epochs              : 50
rmts_epochs         : 50
batch_size          : 64
lr                  : 0.001
finetune            : None
embedding_dim       : 16
oscillator_dim      : 2
num_steps           : 25
step_size           : 0.1
use_omega           : False
omega_kappa         : 2.0
disable_between     : False
symmetric_j         : True
n_train_glyphs      : 15
n_train             : 2000
n_val               : 100
n_test              : 10000
num_workers         : 2
>>> Starting training …
Running on cuda

S/D test loss=0.8003 | acc=0.7772
S/D training complete.

Epoch 1/50 | Train Loss=0.6628, Acc=0.6460 | Val Loss=0.6329, Acc=0.6100
Epoch 2/50 | Train Loss=0.5911, Acc=0.8580 | Val Loss=0.5587, Acc=0.8500
Epoch 3/50 | Train Loss=0.5010, Acc=0.9395 | Val Loss=0.4583, Acc=0.9600
Epoch 4/50 | Train Loss=0.3971, Acc=0.9645 | Val Loss=0.3386, Acc=0.9700
Epoch 5/50 | Train Loss=0.2986, Acc=0.9725 | Val Loss=0.2644, Acc=0.9700
Epoch 6/50 | Train Loss=0.2205, Acc=0.9775 | Val Loss=0.1989, Acc=0.9800
Epoch 7/50 | Train Loss=0.1717, Acc=0.9815 | Val Loss=0.1555, Acc=0.9800
Epoch 8/50 | Train Loss=0.1403, Acc=0.9755 | Val Loss=0.1374, Acc=0.9800
Epoch 9/50 | Train Loss=0.1124, Acc=0.9820 | Val Loss=0.1099, Acc=0.9800
Epoch 10/50 | Train Loss=0.0989, Acc=0.9855 | Val Loss=0.1095, Acc=0.9700
Epoch 11/50 | Train Loss=0.0867, Acc=0.9840 | Val Loss=0.0647, Acc=0.9900
Epoch 12/50 | Train Loss=0.0819, Acc=0.9835 | Val Loss=0.0516, Acc=1.0000
Epoch 13/50 | Train Loss=0.0785, Acc=0.9805 | Val Loss=0.0869, Acc=0.9900
Epoch 14/50 | Train Loss=0.0687, Acc=0.9835 | Val Loss=0.0582, Acc=0.9900
Epoch 15/50 | Train Loss=0.0728, Acc=0.9790 | Val Loss=0.0513, Acc=0.9900
Epoch 16/50 | Train Loss=0.0692, Acc=0.9820 | Val Loss=0.0787, Acc=0.9700
Epoch 17/50 | Train Loss=0.0635, Acc=0.9830 | Val Loss=0.0581, Acc=0.9800
Epoch 18/50 | Train Loss=0.0624, Acc=0.9825 | Val Loss=0.0689, Acc=0.9600
Epoch 19/50 | Train Loss=0.0710, Acc=0.9825 | Val Loss=0.0885, Acc=0.9700
Epoch 20/50 | Train Loss=0.0666, Acc=0.9790 | Val Loss=0.0475, Acc=1.0000
Epoch 21/50 | Train Loss=0.0589, Acc=0.9790 | Val Loss=0.0708, Acc=0.9800
Epoch 22/50 | Train Loss=0.0625, Acc=0.9810 | Val Loss=0.0814, Acc=0.9700
Epoch 23/50 | Train Loss=0.0617, Acc=0.9785 | Val Loss=0.0247, Acc=1.0000
Epoch 24/50 | Train Loss=0.0561, Acc=0.9835 | Val Loss=0.0487, Acc=0.9900
Epoch 25/50 | Train Loss=0.0615, Acc=0.9810 | Val Loss=0.1756, Acc=0.9500
Epoch 26/50 | Train Loss=0.0493, Acc=0.9885 | Val Loss=0.0945, Acc=0.9800
Epoch 27/50 | Train Loss=0.0606, Acc=0.9820 | Val Loss=0.0388, Acc=0.9900
Epoch 28/50 | Train Loss=0.0536, Acc=0.9825 | Val Loss=0.0760, Acc=0.9700
Epoch 29/50 | Train Loss=0.0591, Acc=0.9775 | Val Loss=0.0381, Acc=0.9900
Epoch 30/50 | Train Loss=0.0604, Acc=0.9805 | Val Loss=0.1318, Acc=0.9700
Epoch 31/50 | Train Loss=0.0583, Acc=0.9830 | Val Loss=0.0679, Acc=0.9700
Epoch 32/50 | Train Loss=0.0672, Acc=0.9760 | Val Loss=0.0477, Acc=0.9900
Epoch 33/50 | Train Loss=0.0531, Acc=0.9850 | Val Loss=0.0692, Acc=0.9800
Epoch 34/50 | Train Loss=0.0490, Acc=0.9835 | Val Loss=0.0418, Acc=0.9800
Epoch 35/50 | Train Loss=0.0429, Acc=0.9835 | Val Loss=0.0292, Acc=1.0000
Epoch 36/50 | Train Loss=0.0531, Acc=0.9820 | Val Loss=0.1055, Acc=0.9600
Epoch 37/50 | Train Loss=0.0484, Acc=0.9820 | Val Loss=0.0871, Acc=0.9800
Epoch 38/50 | Train Loss=0.0596, Acc=0.9800 | Val Loss=0.0499, Acc=1.0000
Epoch 39/50 | Train Loss=0.0628, Acc=0.9800 | Val Loss=0.0664, Acc=0.9800
Epoch 40/50 | Train Loss=0.0576, Acc=0.9805 | Val Loss=0.0540, Acc=0.9900
Epoch 41/50 | Train Loss=0.0579, Acc=0.9815 | Val Loss=0.1211, Acc=0.9600
Epoch 42/50 | Train Loss=0.0549, Acc=0.9840 | Val Loss=0.0722, Acc=0.9800
Epoch 43/50 | Train Loss=0.0659, Acc=0.9770 | Val Loss=0.0820, Acc=0.9700
Epoch 44/50 | Train Loss=0.0585, Acc=0.9825 | Val Loss=0.0428, Acc=0.9900
Epoch 45/50 | Train Loss=0.0435, Acc=0.9855 | Val Loss=0.1104, Acc=0.9600
Epoch 46/50 | Train Loss=0.0607, Acc=0.9795 | Val Loss=0.0584, Acc=0.9800
Epoch 47/50 | Train Loss=0.0542, Acc=0.9845 | Val Loss=0.0701, Acc=0.9800
Epoch 48/50 | Train Loss=0.0529, Acc=0.9820 | Val Loss=0.0293, Acc=0.9900
Epoch 49/50 | Train Loss=0.0538, Acc=0.9820 | Val Loss=0.0116, Acc=1.0000
Epoch 50/50 | Train Loss=0.0615, Acc=0.9780 | Val Loss=0.0414, Acc=0.9800

RMTS test loss=1.0260 | acc=0.7116
R-MTS training complete.
